c,l,node,Country_Full,agg,full_sub_same
11540,2,n751751,Tunisia,Tunisia,TRUE
11541,2,n752,Tunisia,Tunisia,TRUE
11542,2,n752752,Tunisia,Tunisia,TRUE
11552,2,n757757,Kenya,Kenya,TRUE
11553,2,n758,Spain,Spain,TRUE
11557,2,n760,Morocco,Morocco,TRUE
11558,2,n760760,Morocco,Morocco,TRUE
11584,2,n773773,Cameroon,Cameroon,TRUE
11587,2,n775,Cameroon,Cameroon,TRUE
11602,2,n782782,Gabon,Gabon,TRUE
11626,2,n794794,Canada,Canada,TRUE
11629,2,n796,Canada,Canada,TRUE
11630,2,n796796,Canada,Canada,TRUE
11646,2,n804804,USA,USA,TRUE
11689,2,n826,USA,USA,TRUE
11691,2,n827,Haiti,Haiti,TRUE
11702,2,n832832,Germany,Germany,TRUE
11708,2,n835835,Iran,Iran,TRUE
11710,2,n836836,Mexico,Mexico,TRUE
11722,2,n842842,Peru,Peru,TRUE
11726,2,n844844,Brazil,Brazil,TRUE
11727,2,n845,Argentina,Argentina,TRUE
11728,2,n845845,Peru,Peru,TRUE
11729,2,n846,Peru,Peru,TRUE
11730,2,n846846,Peru,Peru,TRUE
11746,2,n854854,Brazil,Brazil,TRUE
11749,2,n856,Brazil,Brazil,TRUE
11755,2,n859,Brazil,Brazil,TRUE
11762,2,n862862,Brazil,Brazil,TRUE
11768,2,n865865,Brazil,Brazil,TRUE
11774,2,n868868,Brazil,Brazil,TRUE
11775,2,n869,Brazil,Brazil,TRUE
11776,2,n869869,Brazil,Brazil,TRUE
11786,2,n874874,Brazil,Brazil,TRUE
11802,2,n882882,Brazil,Brazil,TRUE
11810,2,n886886,Brazil,Brazil,TRUE
11814,2,n888888,Brazil,Brazil,TRUE
11815,2,n889,Brazil,Brazil,TRUE
11816,2,n889889,Brazil,Brazil,TRUE
11817,2,n890,Brazil,Brazil,TRUE
11820,2,n891891,Brazil,Brazil,TRUE
11821,2,n892,Brazil,Brazil,TRUE
11823,2,n893,Brazil,Brazil,TRUE
11825,2,n894,Brazil,Brazil,TRUE
11829,2,n896,Brazil,Brazil,TRUE
11830,2,n896896,Brazil,Brazil,TRUE
11831,2,n897,Brazil,Brazil,TRUE
11834,2,n898898,Brazil,Brazil,TRUE
11855,2,n909,Cuba,Cuba,TRUE
11862,2,n912912,Cuba,Cuba,TRUE
11864,2,n913913,Cuba,Cuba,TRUE
11865,2,n914,Cuba,Cuba,TRUE
11871,2,n917,Cuba,Cuba,TRUE
11873,2,n918,Cuba,Cuba,TRUE
11874,2,n918918,Cuba,Cuba,TRUE
11879,2,n921,Cuba,Cuba,TRUE
11887,2,n925,Cuba,Cuba,TRUE
11888,2,n925925,Cuba,Cuba,TRUE
11889,2,n926,Cuba,Cuba,TRUE
11891,2,n927,Cuba,Cuba,TRUE
11893,2,n928,Cuba,Cuba,TRUE
11901,2,n932,Cuba,Cuba,TRUE
11902,2,n932932,Cuba,Cuba,TRUE
11904,2,n933933,Cuba,Cuba,TRUE
11909,2,n936,Cuba,Cuba,TRUE
11913,2,n938,Colombia,Colombia,TRUE
11914,2,n938938,Colombia,Colombia,TRUE
11916,2,n939939,Colombia,Colombia,TRUE
11918,2,n940940,Cuba,Cuba,TRUE
11922,2,n942942,Mexico,Mexico,TRUE
11924,2,n943943,Mexico,Mexico,TRUE
11938,2,n950950,Mexico,Mexico,TRUE
11939,2,n951,Mexico,Mexico,TRUE
11940,2,n951951,Mexico,Mexico,TRUE
11945,2,n954,Mexico,Mexico,TRUE
11955,2,n959,Mexico,Mexico,TRUE
11956,2,n959959,Mexico,Mexico,TRUE
11957,2,n960,Mexico,Mexico,TRUE
11961,2,n962,Mexico,Mexico,TRUE
11969,2,n966,Honduras,Honduras,TRUE
11971,2,n967,Mexico,Mexico,TRUE
11972,2,n967967,Mexico,Mexico,TRUE
11993,2,n978,Mexico,Mexico,TRUE
12005,2,n984,Paraguay,Paraguay,TRUE
12017,2,n990,Nigeria,Nigeria,TRUE
12025,2,n994,USA,USA,TRUE
12051,2,n1007,USA,USA,TRUE
12060,2,n1012,USA,USA,TRUE
12063,2,n10131013,Mexico,Mexico,TRUE
12077,2,n10201020,USA,USA,TRUE
12084,2,n1024,USA,USA,TRUE
12095,2,n10291029,Egypt,Egypt,TRUE
12097,2,n10301030,Egypt,Egypt,TRUE
12102,2,n1033,Egypt,Egypt,TRUE
12103,2,n10331033,Egypt,Egypt,TRUE
12104,2,n1034,Egypt,Egypt,TRUE
12106,2,n1035,Egypt,Egypt,TRUE
12109,2,n10361036,Egypt,Egypt,TRUE
12110,2,n1037,Egypt,Egypt,TRUE
12112,2,n1038,Egypt,Egypt,TRUE
12114,2,n1039,Mexico,Mexico,TRUE
12128,2,n1046,SouthAfrica,SouthAfrica,TRUE
12134,2,n1049,SouthAfrica,SouthAfrica,TRUE
12136,2,n1050,SouthAfrica,SouthAfrica,TRUE
12140,2,n1052,SouthAfrica,SouthAfrica,TRUE
12165,2,n10641064,SouthAfrica,SouthAfrica,TRUE
12167,2,n10651065,SouthAfrica,SouthAfrica,TRUE
12187,2,n10751075,Botswana,Botswana,TRUE
12193,2,n10781078,Zimbabwe,Zimbabwe,TRUE
12198,2,n1081,SouthAfrica,SouthAfrica,TRUE
12202,2,n1083,SouthAfrica,SouthAfrica,TRUE
12454,2,n12091209,Pakistan,Pakistan,TRUE
12473,2,n12191219,Nepal,Nepal,TRUE
12495,2,n12301230,UnitedKingdom,UnitedKingdom,TRUE
12496,2,n1231,Nepal,Nepal,TRUE
12506,2,n1236,Bangladesh,Bangladesh,TRUE
12509,2,n12371237,Nepal,Nepal,TRUE
12533,2,n12491249,Pakistan,Pakistan,TRUE
12534,2,n1250,Pakistan,Pakistan,TRUE
12535,2,n12501250,Afghanistan,Afghanistan,TRUE
12538,2,n1252,Pakistan,Pakistan,TRUE
12539,2,n12521252,Pakistan,Pakistan,TRUE
12543,2,n12541254,Pakistan,Pakistan,TRUE
12545,2,n12551255,Afghanistan,Afghanistan,TRUE
12547,2,n12561256,Afghanistan,Afghanistan,TRUE
12566,2,n1266,Afghanistan,Afghanistan,TRUE
12567,2,n12661266,Afghanistan,Afghanistan,TRUE
12569,2,n12671267,Afghanistan,Afghanistan,TRUE
12580,2,n1273,Nepal,Nepal,TRUE
12583,2,n12741274,Nepal,Nepal,TRUE
12584,2,n1275,Nepal,Nepal,TRUE
12585,2,n12751275,Nepal,Nepal,TRUE
12586,2,n1276,Nepal,Nepal,TRUE
12588,2,n1277,Nepal,Nepal,TRUE
12599,2,n12821282,Iran,Iran,TRUE
12663,2,n1315,Greenland,Greenland,TRUE
12797,2,n1382,Canada,Canada,TRUE
12872,2,n1420,USA,Svalbard,FALSE
12897,2,n14321432,Greenland,Greenland,TRUE
12904,2,n1436,Greenland,Greenland,TRUE
12908,2,n1438,Greenland,Greenland,TRUE
12909,2,n14381438,Greenland,Greenland,TRUE
12921,2,n14441444,Greenland,Greenland,TRUE
12922,2,n1445,Greenland,Greenland,TRUE
12929,2,n14481448,Greenland,Greenland,TRUE
12930,2,n1449,Greenland,Greenland,TRUE
12933,2,n14501450,Greenland,Greenland,TRUE
12973,2,n14701470,SouthKorea,SouthKorea,TRUE
12974,2,n1471,SouthKorea,SouthKorea,TRUE
12975,2,n14711471,SouthKorea,SouthKorea,TRUE
12976,2,n1472,SouthKorea,SouthKorea,TRUE
12981,2,n14741474,SouthKorea,SouthKorea,TRUE
12983,2,n14751475,SouthKorea,SouthKorea,TRUE
12984,2,n1476,SouthKorea,SouthKorea,TRUE
12986,2,n1477,SouthKorea,SouthKorea,TRUE
12987,2,n14771477,SouthKorea,SouthKorea,TRUE
12988,2,n1478,SouthKorea,SouthKorea,TRUE
12990,2,n1479,SouthKorea,SouthKorea,TRUE
12991,2,n14791479,SouthKorea,SouthKorea,TRUE
12994,2,n1481,SouthKorea,SouthKorea,TRUE
13002,2,n1485,SouthKorea,SouthKorea,TRUE
13006,2,n1487,SouthKorea,SouthKorea,TRUE
13012,2,n1490,SouthKorea,SouthKorea,TRUE
13013,2,n14901490,SouthKorea,SouthKorea,TRUE
13022,2,n1495,SouthKorea,SouthKorea,TRUE
13080,2,n15241524,Nigeria,Nigeria,TRUE
13083,2,n1526,Nigeria,Nigeria,TRUE
13094,2,n15311531,Nigeria,Nigeria,TRUE
13100,2,n15341534,Nigeria,Nigeria,TRUE
13101,2,n1535,Nigeria,Nigeria,TRUE
13115,2,n1542,Cameroon,Cameroon,TRUE
13116,2,n15421542,Cameroon,Cameroon,TRUE
13117,2,n1543,Nigeria,Nigeria,TRUE
13119,2,n1544,Nigeria,Nigeria,TRUE
13127,2,n1548,Chad,Chad,TRUE
13128,2,n15481548,Chad,Chad,TRUE
13141,2,n1555,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
13149,2,n1559,Nigeria,Nigeria,TRUE
13157,2,n1563,Nigeria,Nigeria,TRUE
13172,2,n15701570,Mauritania,Mauritania,TRUE
13182,2,n15751575,Mali,Mali,TRUE
13197,2,n1583,Liberia,Liberia,TRUE
13200,2,n15841584,Mali,Mali,TRUE
13206,2,n15871587,Liberia,Liberia,TRUE
13222,2,n15951595,Senegal,Senegal,TRUE
13228,2,n15981598,Senegal,Senegal,TRUE
13231,2,n1600,Senegal,Senegal,TRUE
13232,2,n16001600,Senegal,Senegal,TRUE
13236,2,n16021602,Senegal,Senegal,TRUE
13238,2,n16031603,Senegal,Senegal,TRUE
13252,2,n16101610,BurkinaFaso,BurkinaFaso,TRUE
13253,2,n1611,BurkinaFaso,BurkinaFaso,TRUE
13265,2,n16171617,BurkinaFaso,BurkinaFaso,TRUE
13269,2,n16191619,BurkinaFaso,BurkinaFaso,TRUE
13270,2,n1620,Niger,Niger,TRUE
13274,2,n1622,BurkinaFaso,BurkinaFaso,TRUE
13277,2,n16231623,BurkinaFaso,BurkinaFaso,TRUE
13286,2,n1628,Niger,Niger,TRUE
13287,2,n16281628,BurkinaFaso,BurkinaFaso,TRUE
13292,2,n1631,Ghana,Ghana,TRUE
13293,2,n16311631,Benin,Benin,TRUE
13302,2,n1636,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
13306,2,n1638,Chad,Chad,TRUE
13318,2,n1644,Senegal,Senegal,TRUE
13319,2,n16441644,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
13623,2,n1797,Philippines,Philippines,TRUE
13771,2,n18711871,China,China,TRUE
13788,2,n1880,Taiwan,Taiwan,TRUE
13795,2,n18831883,Taiwan,Taiwan,TRUE
13799,2,n18851885,Taiwan,Taiwan,TRUE
13800,2,n1886,Taiwan,Taiwan,TRUE
13805,2,n18881888,Taiwan,Taiwan,TRUE
13807,2,n18891889,Taiwan,Taiwan,TRUE
13815,2,n18931893,Taiwan,Taiwan,TRUE
13816,2,n1894,Taiwan,Taiwan,TRUE
13821,2,n18961896,Taiwan,Taiwan,TRUE
13827,2,n18991899,Taiwan,Taiwan,TRUE
13828,2,n1900,Taiwan,Taiwan,TRUE
13830,2,n1901,Taiwan,Taiwan,TRUE
13831,2,n19011901,Taiwan,Taiwan,TRUE
13836,2,n1904,Taiwan,Taiwan,TRUE
13837,2,n19041904,Taiwan,Taiwan,TRUE
13839,2,n19051905,Taiwan,Taiwan,TRUE
13840,2,n1906,Taiwan,Taiwan,TRUE
13843,2,n19071907,Taiwan,Taiwan,TRUE
13846,2,n1909,Taiwan,Taiwan,TRUE
13851,2,n19111911,Taiwan,Taiwan,TRUE
13853,2,n19121912,Taiwan,Taiwan,TRUE
13854,2,n1913,Taiwan,Taiwan,TRUE
13860,2,n1916,Taiwan,Taiwan,TRUE
13862,2,n1917,Taiwan,Taiwan,TRUE
13863,2,n19171917,Taiwan,Taiwan,TRUE
13866,2,n19191919,Taiwan,Taiwan,TRUE
13868,2,n19201920,Taiwan,Taiwan,TRUE
13888,2,n19301930,Cambodia,Cambodia,TRUE
13900,2,n19361936,Cambodia,Cambodia,TRUE
13903,2,n1938,Cambodia,Cambodia,TRUE
13905,2,n1939,Cambodia,Cambodia,TRUE
13909,2,n1941,Cambodia,Cambodia,TRUE
13912,2,n19421942,Cambodia,Cambodia,TRUE
13924,2,n19481948,Cambodia,Cambodia,TRUE
13925,2,n1949,Cambodia,Cambodia,TRUE
13934,2,n19531953,Thailand,Thailand,TRUE
13936,2,n19541954,Thailand,Thailand,TRUE
13942,2,n19571957,Thailand,Thailand,TRUE
13948,2,n19601960,Thailand,Thailand,TRUE
13950,2,n19611961,Thailand,Thailand,TRUE
13957,2,n1965,Cambodia,Cambodia,TRUE
13958,2,n19651965,Cambodia,Cambodia,TRUE
13965,2,n1969,Cambodia,Cambodia,TRUE
13971,2,n1972,Cambodia,Cambodia,TRUE
13976,2,n19741974,VietNam,VietNam,TRUE
13978,2,n19751975,Thailand,Thailand,TRUE
13979,2,n1976,Cambodia,Cambodia,TRUE
13982,2,n19771977,Thailand,Thailand,TRUE
13983,2,n1978,Cambodia,Cambodia,TRUE
13991,2,n1982,Cambodia,Cambodia,TRUE
13993,2,n1983,VietNam,Cambodia,FALSE
13994,2,n19831983,VietNam,VietNam,TRUE
13997,2,n1985,Cambodia,Cambodia,TRUE
14002,2,n19871987,Thailand,Thailand,TRUE
14003,2,n1988,Thailand,Thailand,TRUE
14007,2,n1990,Cambodia,Cambodia,TRUE
14010,2,n19911991,Thailand,Thailand,TRUE
14011,2,n1992,Thailand,Thailand,TRUE
14017,2,n1995,Laos,Laos,TRUE
14032,2,n20022002,Malaysia,Malaysia,TRUE
14036,2,n20042004,Thailand,Thailand,TRUE
14037,2,n2005,VietNam,VietNam,TRUE
14048,2,n20102010,Thailand,Thailand,TRUE
14049,2,n2011,Thailand,Thailand,TRUE
14050,2,n20112011,Thailand,Thailand,TRUE
14055,2,n2014,Myanmar,Myanmar,TRUE
14056,2,n20142014,Myanmar,Myanmar,TRUE
14057,2,n2015,Myanmar,Myanmar,TRUE
14064,2,n20182018,Thailand,Thailand,TRUE
14397,2,n2186,VietNam,VietNam,TRUE
14398,2,n21862186,VietNam,VietNam,TRUE
14473,2,n22242224,VietNam,VietNam,TRUE
14474,2,n2225,VietNam,VietNam,TRUE
14475,2,n22252225,VietNam,VietNam,TRUE
14671,2,n2324,Indonesia,Indonesia,TRUE
14674,2,n23252325,Indonesia,Indonesia,TRUE
14712,2,n23442344,SriLanka,SriLanka,TRUE
14714,2,n23452345,SriLanka,SriLanka,TRUE
14717,2,n2347,SriLanka,SriLanka,TRUE
14718,2,n23472347,SriLanka,SriLanka,TRUE
14722,2,n23492349,SriLanka,SriLanka,TRUE
14725,2,n2351,SriLanka,SriLanka,TRUE
14726,2,n23512351,SriLanka,SriLanka,TRUE
14732,2,n23542354,SriLanka,SriLanka,TRUE
14733,2,n2355,SriLanka,SriLanka,TRUE
14734,2,n23552355,SriLanka,SriLanka,TRUE
14739,2,n2358,SriLanka,SriLanka,TRUE
14742,2,n23592359,SriLanka,SriLanka,TRUE
14748,2,n23622362,SriLanka,SriLanka,TRUE
14751,2,n2364,SriLanka,SriLanka,TRUE
14754,2,n23652365,SriLanka,SriLanka,TRUE
14759,2,n2368,SriLanka,SriLanka,TRUE
14760,2,n23682368,SriLanka,SriLanka,TRUE
14761,2,n2369,SriLanka,SriLanka,TRUE
14763,2,n2370,SriLanka,SriLanka,TRUE
14766,2,n23712371,SriLanka,SriLanka,TRUE
14809,2,n2393,India,India,TRUE
14811,2,n2394,India,India,TRUE
14821,2,n2399,Nepal,Nepal,TRUE
14823,2,n2400,Nepal,Nepal,TRUE
1,1,FJ424484,Italy,Italy,TRUE
3,1,KC197982,Italy,Italy,TRUE
4,1,KC197976,Italy,Italy,TRUE
5,1,KC197983,Italy,Italy,TRUE
8,1,KC197989,Italy,Italy,TRUE
9,1,KC197978,Italy,Italy,TRUE
10,1,KC197969,Italy,Italy,TRUE
11,1,KC197970,Italy,Italy,TRUE
12,1,KC197998,Italy,Italy,TRUE
13,1,KC197987,Italy,Italy,TRUE
14,1,KC197990,Italy,Italy,TRUE
15,1,KC197985,Italy,Italy,TRUE
16,1,KC197991,Italy,Italy,TRUE
17,1,KC197975,Italy,Italy,TRUE
18,1,KC197992,Italy,Italy,TRUE
19,1,KC197971,Italy,Italy,TRUE
20,1,KC198013,Italy,Italy,TRUE
21,1,KC197993,Italy,Italy,TRUE
22,1,KC198014,Italy,Italy,TRUE
23,1,KC198012,Italy,Italy,TRUE
24,1,KC197979,Italy,Italy,TRUE
25,1,KC197994,Italy,Italy,TRUE
26,1,HM852160,Slovenia,Slovenia,TRUE
27,1,KC198075,Italy,Italy,TRUE
28,1,KC197973,Italy,Italy,TRUE
29,1,KC197995,Italy,Italy,TRUE
30,1,HM852162,Slovenia,Slovenia,TRUE
31,1,HM852158,Slovenia,Slovenia,TRUE
32,1,HM852161,Slovenia,Slovenia,TRUE
33,1,HM852159,Slovenia,Slovenia,TRUE
34,1,HM852157,Slovenia,Slovenia,TRUE
35,1,HM852163,Slovenia,Slovenia,TRUE
36,1,KC197974,Italy,Italy,TRUE
37,1,HM852156,Slovenia,Slovenia,TRUE
38,1,KC197984,Italy,Italy,TRUE
39,1,KC198007,Italy,Italy,TRUE
40,1,KC197977,Italy,Italy,TRUE
41,1,HM852155,Slovenia,Slovenia,TRUE
42,1,KC198027,Italy,Italy,TRUE
43,1,KC197981,Italy,Italy,TRUE
44,1,JF973819,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
45,1,KC197972,Italy,Italy,TRUE
46,1,HM852167,Slovenia,Slovenia,TRUE
47,1,HM852166,Slovenia,Slovenia,TRUE
48,1,HM852164,Slovenia,Slovenia,TRUE
49,1,KC198033,Italy,Italy,TRUE
50,1,HM852165,Slovenia,Slovenia,TRUE
51,1,HM852190,Slovenia,Slovenia,TRUE
52,1,HM852189,Slovenia,Slovenia,TRUE
54,1,KC197894,Italy,Italy,TRUE
55,1,KC197869,Italy,Italy,TRUE
56,1,KC197899,Italy,Italy,TRUE
58,1,KC197880,Italy,Italy,TRUE
59,1,KC197858,Italy,Italy,TRUE
60,1,KC197859,Italy,Italy,TRUE
61,1,KC197882,Italy,Italy,TRUE
62,1,KC197885,Italy,Italy,TRUE
63,1,KC197914,Italy,Italy,TRUE
64,1,KC197868,Italy,Italy,TRUE
65,1,KC197879,Italy,Italy,TRUE
67,1,KC197900,Italy,Italy,TRUE
68,1,KC197861,Italy,Italy,TRUE
69,1,KC197962,Italy,Italy,TRUE
70,1,KC197878,Italy,Italy,TRUE
71,1,KC197881,Italy,Italy,TRUE
72,1,KC197864,Italy,Italy,TRUE
73,1,KC197871,Italy,Italy,TRUE
74,1,KC197870,Italy,Italy,TRUE
75,1,KC197877,Italy,Italy,TRUE
76,1,KC197860,Italy,Italy,TRUE
77,1,KC197874,Italy,Italy,TRUE
78,1,KC197865,Italy,Italy,TRUE
79,1,KC197873,Italy,Italy,TRUE
80,1,KC197901,Italy,Italy,TRUE
81,1,KC197872,Italy,Italy,TRUE
82,1,KC197920,Italy,Italy,TRUE
83,1,KU739037,Italy,Italy,TRUE
84,1,KC197866,Italy,Italy,TRUE
85,1,KC197862,Italy,Italy,TRUE
86,1,KC197856,Italy,Italy,TRUE
87,1,KC197863,Italy,Italy,TRUE
88,1,KC197857,Italy,Italy,TRUE
89,1,KX148132,Slovenia,Slovenia,TRUE
90,1,HM852153,Slovenia,Slovenia,TRUE
91,1,HM852152,Slovenia,Slovenia,TRUE
92,1,KC197887,Italy,Italy,TRUE
93,1,KC197955,Italy,Italy,TRUE
94,1,KC197950,Italy,Italy,TRUE
95,1,KC197888,Italy,Italy,TRUE
96,1,KC197924,Italy,Italy,TRUE
97,1,KC197921,Italy,Italy,TRUE
98,1,KC197905,Italy,Italy,TRUE
99,1,KC197957,Italy,Italy,TRUE
100,1,KC197967,Italy,Italy,TRUE
101,1,KC197960,Italy,Italy,TRUE
102,1,KC197961,Italy,Italy,TRUE
103,1,KC197903,Italy,Italy,TRUE
104,1,KC197954,Italy,Italy,TRUE
105,1,KC197926,Italy,Italy,TRUE
106,1,KC197890,Italy,Italy,TRUE
107,1,KC197958,Italy,Italy,TRUE
108,1,KC197915,Italy,Italy,TRUE
109,1,KC197932,Italy,Italy,TRUE
110,1,KC197944,Italy,Italy,TRUE
111,1,KC197893,Italy,Italy,TRUE
112,1,KC197917,Italy,Italy,TRUE
113,1,KC197959,Italy,Italy,TRUE
114,1,KC197925,Italy,Italy,TRUE
115,1,KC197936,Italy,Italy,TRUE
116,1,KC197938,Italy,Italy,TRUE
117,1,KC197945,Italy,Italy,TRUE
118,1,KC197927,Italy,Italy,TRUE
119,1,KC197883,Italy,Italy,TRUE
120,1,KC197935,Italy,Italy,TRUE
121,1,KC197898,Italy,Italy,TRUE
122,1,KC197895,Italy,Italy,TRUE
123,1,KC197951,Italy,Italy,TRUE
124,1,KC197884,Italy,Italy,TRUE
125,1,KC197948,Italy,Italy,TRUE
126,1,KC197949,Italy,Italy,TRUE
127,1,KC197939,Italy,Italy,TRUE
128,1,KC197942,Italy,Italy,TRUE
129,1,KC197897,Italy,Italy,TRUE
130,1,KC197908,Italy,Italy,TRUE
131,1,KC197937,Italy,Italy,TRUE
132,1,KC197892,Italy,Italy,TRUE
133,1,KC197931,Italy,Italy,TRUE
134,1,KC197929,Italy,Italy,TRUE
135,1,KC197940,Italy,Italy,TRUE
136,1,KC197909,Italy,Italy,TRUE
137,1,KC197911,Italy,Italy,TRUE
138,1,KC197928,Italy,Italy,TRUE
139,1,KC197916,Italy,Italy,TRUE
140,1,KC197891,Italy,Italy,TRUE
141,1,KC197963,Italy,Italy,TRUE
142,1,KC197886,Italy,Italy,TRUE
143,1,KC197968,Italy,Italy,TRUE
144,1,KC197933,Italy,Italy,TRUE
145,1,KC197947,Italy,Italy,TRUE
146,1,KC197946,Italy,Italy,TRUE
147,1,KC197919,Italy,Italy,TRUE
148,1,KC197952,Italy,Italy,TRUE
149,1,KC197966,Italy,Italy,TRUE
150,1,KC197896,Italy,Italy,TRUE
151,1,KC197964,Italy,Italy,TRUE
152,1,KC197956,Italy,Italy,TRUE
153,1,KC197922,Italy,Italy,TRUE
154,1,KC197910,Italy,Italy,TRUE
155,1,KC197953,Italy,Italy,TRUE
156,1,KC197902,Italy,Italy,TRUE
157,1,KC197906,Italy,Italy,TRUE
158,1,KC197912,Italy,Italy,TRUE
159,1,KC197923,Italy,Italy,TRUE
160,1,KC197941,Italy,Italy,TRUE
161,1,KC197930,Italy,Italy,TRUE
162,1,KC197943,Italy,Italy,TRUE
163,1,KC197965,Italy,Italy,TRUE
164,1,KC197907,Italy,Italy,TRUE
165,1,KC197889,Italy,Italy,TRUE
166,1,KC197918,Italy,Italy,TRUE
167,1,KC197913,Italy,Italy,TRUE
168,1,KC197934,Italy,Italy,TRUE
169,1,KC197904,Italy,Italy,TRUE
170,1,KC197875,Italy,Italy,TRUE
171,1,HM852173,Slovenia,Slovenia,TRUE
172,1,HM852169,Slovenia,Slovenia,TRUE
173,1,KX148131,Slovenia,Slovenia,TRUE
174,1,HM852149,Slovenia,Slovenia,TRUE
175,1,HM852171,Slovenia,Slovenia,TRUE
176,1,HM852172,Slovenia,Slovenia,TRUE
177,1,HM852150,Slovenia,Slovenia,TRUE
178,1,HM852170,Slovenia,Slovenia,TRUE
179,1,HM852148,Slovenia,Slovenia,TRUE
180,1,KX148129,Slovenia,Slovenia,TRUE
181,1,HM852147,Slovenia,Slovenia,TRUE
182,1,HM852146,Slovenia,Slovenia,TRUE
183,1,KX148130,Slovenia,Slovenia,TRUE
184,1,HM852180,Slovenia,Slovenia,TRUE
185,1,HM852181,Slovenia,Slovenia,TRUE
186,1,HM852182,Slovenia,Slovenia,TRUE
187,1,HM852183,Slovenia,Slovenia,TRUE
188,1,HM852184,Slovenia,Slovenia,TRUE
189,1,HM852186,Slovenia,Slovenia,TRUE
190,1,HM852185,Slovenia,Slovenia,TRUE
191,1,HM852179,Slovenia,Slovenia,TRUE
192,1,HM852187,Slovenia,Slovenia,TRUE
193,1,HM852178,Slovenia,Slovenia,TRUE
194,1,HM852188,Slovenia,Slovenia,TRUE
195,1,KX929111,Croatia,Croatia,TRUE
196,1,JF683636,Croatia,Croatia,TRUE
197,1,JF683641,Croatia,Croatia,TRUE
198,1,HM852175,Slovenia,Slovenia,TRUE
199,1,HM852176,Slovenia,Slovenia,TRUE
200,1,HM852174,Slovenia,Slovenia,TRUE
201,1,JF973750,BosniaandHerzegovina,unresolved,FALSE
202,1,KC198053,Italy,Italy,TRUE
203,1,JF973782,BosniaandHerzegovina,unresolved,FALSE
204,1,KX148133,BosniaandHerzegovina,unresolved,FALSE
206,1,KC198062,Italy,Italy,TRUE
207,1,KC198044,Italy,Italy,TRUE
208,1,KC198032,Italy,Italy,TRUE
210,1,KC198059,Italy,Italy,TRUE
211,1,KC198058,Italy,Italy,TRUE
212,1,KC198061,Italy,Italy,TRUE
213,1,KC198060,Italy,Italy,TRUE
214,1,KC198045,Italy,Italy,TRUE
215,1,KC198056,Italy,Italy,TRUE
216,1,KC198055,Italy,Italy,TRUE
217,1,KC198042,Italy,Italy,TRUE
218,1,KC198024,Italy,Italy,TRUE
219,1,KC198021,Italy,Italy,TRUE
220,1,KC198054,Italy,Italy,TRUE
221,1,KC198046,Italy,Italy,TRUE
222,1,KC198048,Italy,Italy,TRUE
223,1,KC198057,Italy,Italy,TRUE
224,1,KC198052,Italy,Italy,TRUE
225,1,KC198065,Italy,Italy,TRUE
226,1,KC198077,Italy,Italy,TRUE
227,1,KC198031,Italy,Italy,TRUE
228,1,KC198026,Italy,Italy,TRUE
229,1,HM852151,Slovenia,Slovenia,TRUE
230,1,KC198015,Italy,Italy,TRUE
231,1,KC198079,Italy,Italy,TRUE
232,1,JF683644,Croatia,Croatia,TRUE
233,1,JF973818,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
234,1,JF973814,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
235,1,JF973822,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
236,1,JF973817,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
237,1,JF973812,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
238,1,JF683651,Croatia,Croatia,TRUE
239,1,JF973824,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
240,1,JF973816,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
241,1,JF973823,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
242,1,JF973813,BosniaandHerzegovina,BosniaandHerzegovina,TRUE
243,1,KC198004,Italy,Italy,TRUE
244,1,KC198064,Italy,Italy,TRUE
245,1,KC198041,Italy,Italy,TRUE
246,1,KC198006,Italy,Italy,TRUE
247,1,KC198009,Italy,Italy,TRUE
248,1,KC198067,Italy,Italy,TRUE
249,1,KC198001,Italy,Italy,TRUE
250,1,KC198002,Italy,Italy,TRUE
251,1,KC198000,Italy,Italy,TRUE
252,1,KC198010,Italy,Italy,TRUE
253,1,KC198081,Italy,Italy,TRUE
254,1,KC198003,Italy,Italy,TRUE
255,1,KC197997,Italy,Italy,TRUE
256,1,KC198066,Italy,Italy,TRUE
257,1,KC198037,Italy,Italy,TRUE
258,1,KC198043,Italy,Italy,TRUE
259,1,KC198040,Italy,Italy,TRUE
260,1,KC198076,Italy,Italy,TRUE
261,1,KC198073,Italy,Italy,TRUE
262,1,KC198039,Italy,Italy,TRUE
263,1,KC198063,Italy,Italy,TRUE
264,1,KC198018,Italy,Italy,TRUE
265,1,KC198019,Italy,Italy,TRUE
266,1,KC198017,Italy,Italy,TRUE
267,1,GU134624,Croatia,Croatia,TRUE
268,1,KC198074,Italy,Italy,TRUE
269,1,KC198078,Italy,Italy,TRUE
270,1,KC198005,Italy,Italy,TRUE
271,1,KC198008,Italy,Italy,TRUE
