c,l,node,Country_Full,agg,full_sub_same
10798,14,n380380,Israel,Israel,TRUE
10849,14,n406,Turkey,Turkey,TRUE
10887,14,n425,Georgia,Georgia,TRUE
11097,14,n530,SouthAfrica,SouthAfrica,TRUE
11140,14,n551551,Zimbabwe,Zimbabwe,TRUE
11281,14,n622,Tanzania,Tanzania,TRUE
11312,14,n637637,Zambia,Tanzania,FALSE
11358,14,n660660,Tanzania,Tanzania,TRUE
11545,14,n754,Morocco,Morocco,TRUE
11576,14,n769769,Tanzania,Cameroon,FALSE
11671,14,n817,USA,USA,TRUE
11680,14,n821821,USA,USA,TRUE
11742,14,n852852,Brazil,Brazil,TRUE
11757,14,n860,Brazil,Brazil,TRUE
11770,14,n866866,Brazil,Brazil,TRUE
11866,14,n914914,Cuba,Cuba,TRUE
11962,14,n962962,Mexico,Mexico,TRUE
12068,14,n1016,USA,USA,TRUE
12299,14,n1132,India,India,TRUE
12581,14,n12731273,Nepal,Nepal,TRUE
12763,14,n1365,Canada,Canada,TRUE
13016,14,n1492,SouthKorea,SouthKorea,TRUE
13309,14,n16391639,Senegal,Senegal,TRUE
13459,14,n17141714,Philippines,Philippines,TRUE
13510,14,n17401740,Philippines,Philippines,TRUE
13822,14,n1897,Taiwan,Taiwan,TRUE
13833,14,n19021902,Taiwan,Taiwan,TRUE
13858,14,n1915,Taiwan,Taiwan,TRUE
14028,14,n20002000,Thailand,unresolved,FALSE
10094,13,n25,Slovenia,Slovenia,TRUE
10121,13,n39,France,France,TRUE
10144,13,n51,Poland,Poland,TRUE
10270,13,n116116,Hungary,Hungary,TRUE
10281,13,n122,Poland,Poland,TRUE
10350,13,n156156,Romania,Romania,TRUE
10402,13,n182182,Russia,Russia,TRUE
10423,13,n193,Mongolia,Mongolia,TRUE
10428,13,n195195,Mongolia,Mongolia,TRUE
10696,13,n329329,SaudiArabia,SaudiArabia,TRUE
10804,13,n383383,Israel,Israel,TRUE
10814,13,n388388,Iran,Iran,TRUE
10850,13,n406406,Turkey,Turkey,TRUE
10867,13,n415,Turkey,Turkey,TRUE
10913,13,n438,Iraq,Iraq,TRUE
11299,13,n631,Zambia,Zambia,TRUE
11340,13,n651651,Tanzania,Tanzania,TRUE
11393,13,n678,Uganda,Uganda,TRUE
11424,13,n693693,Zambia,Zambia,TRUE
11465,13,n714,Ethiopia,Ethiopia,TRUE
11518,13,n740740,Tunisia,Tunisia,TRUE
11811,13,n887,Brazil,Brazil,TRUE
11852,13,n907907,Cuba,Cuba,TRUE
11867,13,n915,Cuba,Cuba,TRUE
11883,13,n923,Cuba,Cuba,TRUE
12124,13,n1044,SouthAfrica,SouthAfrica,TRUE
12170,13,n1067,SouthAfrica,SouthAfrica,TRUE
12442,13,n12031203,Oman,Oman,TRUE
12625,13,n12951295,Canada,Canada,TRUE
12734,13,n13501350,Canada,Canada,TRUE
12800,13,n13831383,Greenland,Canada,FALSE
12816,13,n13911391,Canada,Canada,TRUE
12828,13,n13971397,Canada,Canada,TRUE
12840,13,n14031403,Canada,Canada,TRUE
13143,13,n1556,Chad,Chad,TRUE
13177,13,n1573,Mali,Mali,TRUE
13801,13,n18861886,Taiwan,Taiwan,TRUE
14012,13,n19921992,Thailand,Thailand,TRUE
14043,13,n2008,Thailand,Thailand,TRUE
14728,13,n23522352,SriLanka,SriLanka,TRUE
14744,13,n23602360,SriLanka,SriLanka,TRUE
14817,13,n2397,Nepal,Nepal,TRUE
10337,12,n150,Estonia,Estonia,TRUE
10351,12,n157,Romania,Romania,TRUE
10504,12,n233233,Iran,Russia,FALSE
10677,12,n320,Oman,Oman,TRUE
10851,12,n407,Turkey,Turkey,TRUE
10977,12,n470,SouthAfrica,Zambia,FALSE
11111,12,n537,Zimbabwe,Zimbabwe,TRUE
11141,12,n552,Zimbabwe,Zimbabwe,TRUE
11162,12,n562562,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11195,12,n579,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11254,12,n608608,Tanzania,Tanzania,TRUE
11282,12,n622622,Tanzania,Tanzania,TRUE
11300,12,n631631,Zambia,Zambia,TRUE
11546,12,n754754,Morocco,Morocco,TRUE
11639,12,n801,USA,USA,TRUE
11658,12,n810810,USA,USA,TRUE
11672,12,n817817,USA,USA,TRUE
11941,12,n952,Mexico,Mexico,TRUE
12002,12,n982982,CzechRepublic,Paraguay,FALSE
12069,12,n10161016,USA,USA,TRUE
12171,12,n10671067,SouthAfrica,SouthAfrica,TRUE
12530,12,n1248,Pakistan,Pakistan,TRUE
12626,12,n1296,Canada,Canada,TRUE
