node	Country_Full	agg
AB563966	Philippines	Philippines
AB563914	Philippines	Philippines
AB563891	Philippines	Philippines
AB564005	Philippines	Philippines
KC792096	Philippines	Philippines
AB563948	Philippines	Philippines
AB564007	Philippines	Philippines
AB563899	Philippines	Philippines
AB683646	Philippines	Philippines
AB683652	Philippines	Philippines
AB683643	Philippines	Philippines
LC018584	Philippines	Philippines
AB683612	Philippines	Philippines
AB683609	Philippines	Philippines
AB683649	Philippines	Philippines
AB683611	Philippines	Philippines
EU086204	Philippines	Philippines
EU086203	Philippines	Philippines
GQ472503	China	China
JQ972928	China	China
AB428320	China	China
MG201916	China	China
GQ472518	China	China
GQ472612	China	China
EU159378	China	China
JF972382	China	China
AB428334	China	China
GQ472569	China	China
KT894558	China	China
EU004738	China	China
FJ866830	China	China
FJ719754	China	China
MF158983	China	China
KP319201	China	China
FJ712196	China	China
FJ712195	China	China
EU086214	China	China
FJ032318	China	China
JN974825	China	China
KP860169	Taiwan	Taiwan
KP860167	Taiwan	Taiwan
KP881355	Taiwan	Taiwan
KF501183	Taiwan	Taiwan
KF501182	Taiwan	Taiwan
KP860168	Taiwan	Taiwan
KP892528	Taiwan	Taiwan
KP860151	Taiwan	Taiwan
KP860163	Taiwan	Taiwan
KP860170	Taiwan	Taiwan
KF501181	Taiwan	Taiwan
KP860166	Taiwan	Taiwan
KP860156	Taiwan	Taiwan
KP860154	Taiwan	Taiwan
KP860164	Taiwan	Taiwan
KP860165	Taiwan	Taiwan
KP881359	Taiwan	Taiwan
KF501177	Taiwan	Taiwan
KP860217	Taiwan	Taiwan
KF501176	Taiwan	Taiwan
KP860216	Taiwan	Taiwan
KP860218	Taiwan	Taiwan
KP860219	Taiwan	Taiwan
KF501175	Taiwan	Taiwan
KP860215	Taiwan	Taiwan
MH481063	Taiwan	Taiwan
KP860212	Taiwan	Taiwan
KF620489	Taiwan	Taiwan
KP860153	Taiwan	Taiwan
KP860202	Taiwan	Taiwan
MH481061	Taiwan	Taiwan
MH481058	Taiwan	Taiwan
KF544961	Taiwan	Taiwan
KF544962	Taiwan	Taiwan
KF544963	Taiwan	Taiwan
KP860203	Taiwan	Taiwan
KP860198	Taiwan	Taiwan
MH481067	Taiwan	Taiwan
KP860214	Taiwan	Taiwan
KP860213	Taiwan	Taiwan
KP860149	Taiwan	Taiwan
KP860200	Taiwan	Taiwan
KP860205	Taiwan	Taiwan
KP881358	Taiwan	Taiwan
KP860206	Taiwan	Taiwan
KF620487	Taiwan	Taiwan
KP860208	Taiwan	Taiwan
KP860201	Taiwan	Taiwan
KP860199	Taiwan	Taiwan
KP881354	Taiwan	Taiwan
KP860157	Taiwan	Taiwan
KP860207	Taiwan	Taiwan
KP860159	Taiwan	Taiwan
KP860152	Taiwan	Taiwan
KP860158	Taiwan	Taiwan
KP860150	Taiwan	Taiwan
KP860175	Taiwan	Taiwan
KP860174	Taiwan	Taiwan
KP860142	Taiwan	Taiwan
KF501185	Taiwan	Taiwan
KP860144	Taiwan	Taiwan
KP860147	Taiwan	Taiwan
KF501184	Taiwan	Taiwan
KP860143	Taiwan	Taiwan
KP860141	Taiwan	Taiwan
KP860146	Taiwan	Taiwan
KP860145	Taiwan	Taiwan
KP860148	Taiwan	Taiwan
KP860173	Taiwan	Taiwan
KP860176	Taiwan	Taiwan
KP860177	Taiwan	Taiwan
KP860171	Taiwan	Taiwan
KP860172	Taiwan	Taiwan
KP860139	Taiwan	Taiwan
KP860137	Taiwan	Taiwan
MH481079	Taiwan	Taiwan
KP881356	Taiwan	Taiwan
KP881360	Taiwan	Taiwan
KF620488	Taiwan	Taiwan
KP860138	Taiwan	Taiwan
KP860187	Taiwan	Taiwan
MH481074	Taiwan	Taiwan
KP860204	Taiwan	Taiwan
KP860155	Taiwan	Taiwan
KP892527	Taiwan	Taiwan
KP860234	Taiwan	Taiwan
KP860233	Taiwan	Taiwan
KP860185	Taiwan	Taiwan
KP860184	Taiwan	Taiwan
KF501179	Taiwan	Taiwan
KP860193	Taiwan	Taiwan
KP860196	Taiwan	Taiwan
KP860224	Taiwan	Taiwan
KP860191	Taiwan	Taiwan
KP860223	Taiwan	Taiwan
KF501178	Taiwan	Taiwan
MH481064	Taiwan	Taiwan
KP860195	Taiwan	Taiwan
KP860192	Taiwan	Taiwan
KP860190	Taiwan	Taiwan
MH481068	Taiwan	Taiwan
KP860194	Taiwan	Taiwan
KP860197	Taiwan	Taiwan
KP860186	Taiwan	Taiwan
MH481060	Taiwan	Taiwan
KP860188	Taiwan	Taiwan
MH481065	Taiwan	Taiwan
KP860225	Taiwan	Taiwan
KP860220	Taiwan	Taiwan
KP860226	Taiwan	Taiwan
KP860222	Taiwan	Taiwan
KP860221	Taiwan	Taiwan
KF544965	Taiwan	Taiwan
KF544964	Taiwan	Taiwan
KP860183	Taiwan	Taiwan
KF501180	Taiwan	Taiwan
KP860182	Taiwan	Taiwan
KP860179	Taiwan	Taiwan
KP860180	Taiwan	Taiwan
KP881353	Taiwan	Taiwan
KP860140	Taiwan	Taiwan
KP860161	Taiwan	Taiwan
KP860160	Taiwan	Taiwan
KP860178	Taiwan	Taiwan
KP860181	Taiwan	Taiwan
KP860162	Taiwan	Taiwan
KF544960	Taiwan	Taiwan
KP860229	Taiwan	Taiwan
MH481070	Taiwan	Taiwan
MH481062	Taiwan	Taiwan
MH481071	Taiwan	Taiwan
KF501174	Taiwan	Taiwan
MH481073	Taiwan	Taiwan
KP860231	Taiwan	Taiwan
MH481076	Taiwan	Taiwan
MH481069	Taiwan	Taiwan
KP860232	Taiwan	Taiwan
KP860228	Taiwan	Taiwan
MH481075	Taiwan	Taiwan
MH481066	Taiwan	Taiwan
MH481077	Taiwan	Taiwan
KP881357	Taiwan	Taiwan
KP860189	Taiwan	Taiwan
MH481059	Taiwan	Taiwan
MH481072	Taiwan	Taiwan
KP860227	Taiwan	Taiwan
KP860210	Taiwan	Taiwan
KP860209	Taiwan	Taiwan
KP860211	Taiwan	Taiwan
MH481078	Taiwan	Taiwan
KP860230	Taiwan	Taiwan
KM366298	Cambodia	Cambodia
KM366297	Cambodia	Cambodia
KM366326	Cambodia	Cambodia
KM366271	Cambodia	Cambodia
KM366244	Cambodia	Cambodia
KM366333	Cambodia	Cambodia
KM366334	Cambodia	Cambodia
KM366245	Cambodia	Cambodia
KM366243	Cambodia	Cambodia
KM366331	Cambodia	Cambodia
KM366300	Cambodia	Cambodia
KM366259	Cambodia	Cambodia
EU086133	Cambodia	Cambodia
KM366279	Cambodia	Cambodia
KM366261	Cambodia	Cambodia
KM366273	Cambodia	Cambodia
KM366233	Cambodia	Cambodia
EU086171	Cambodia	Cambodia
KM366321	Cambodia	Cambodia
KM366340	Cambodia	Cambodia
KX148250	Cambodia	Cambodia
KM366234	Cambodia	Cambodia
