node	Country_Full	agg
EU086192	Indonesia	Indonesia
EU086151	Indonesia	Indonesia
KX148266	Indonesia	Indonesia
JX462636	Indonesia	Indonesia
JX462635	Indonesia	Indonesia
JX462634	Indonesia	Indonesia
AB614389	VietNam	VietNam
AB628214	VietNam	VietNam
AB614382	VietNam	VietNam
AB614387	VietNam	VietNam
AB614381	VietNam	VietNam
AB614379	VietNam	VietNam
AB614388	VietNam	VietNam
AB614390	VietNam	VietNam
AB614380	VietNam	VietNam
AB614391	VietNam	VietNam
KT221093	China	China
KT221097	China	China
GU186396	China	China
GU186387	China	China
KT221117	China	China
GU186397	China	China
AB817120	SriLanka	SriLanka
LC110299	SriLanka	SriLanka
AB817139	SriLanka	SriLanka
AB817132	SriLanka	SriLanka
AB638770	SriLanka	SriLanka
AB817090	SriLanka	SriLanka
AB817111	SriLanka	SriLanka
AB817126	SriLanka	SriLanka
AB569299	SriLanka	SriLanka
AB817140	SriLanka	SriLanka
AB817123	SriLanka	SriLanka
AB638771	SriLanka	SriLanka
AB817089	SriLanka	SriLanka
LC110306	SriLanka	SriLanka
AB817108	SriLanka	SriLanka
AB817116	SriLanka	SriLanka
AB817127	SriLanka	SriLanka
LC110290	SriLanka	SriLanka
LC110296	SriLanka	SriLanka
LC110301	SriLanka	SriLanka
LC110295	SriLanka	SriLanka
AB817131	SriLanka	SriLanka
AB817118	SriLanka	SriLanka
LC110304	SriLanka	SriLanka
LC110297	SriLanka	SriLanka
AB817129	SriLanka	SriLanka
AB817109	SriLanka	SriLanka
AB817144	SriLanka	SriLanka
LC110300	SriLanka	SriLanka
LC110293	SriLanka	SriLanka
AB817135	SriLanka	SriLanka
AB638768	SriLanka	SriLanka
LC110292	SriLanka	SriLanka
LC110298	SriLanka	SriLanka
AB817130	SriLanka	SriLanka
AB817107	SriLanka	SriLanka
AB817085	SriLanka	SriLanka
LC110308	SriLanka	SriLanka
