c,l,node,Country_Full,Country_Sub1,Country_Sub2,Country_Sub3,Country_Sub4,Country_Sub5
10877,115,n420,Iraq,NA,NA,NA,NA,NA
11209,115,n586,Tanzania,NA,NA,NA,Tanzania,Tanzania
12616,115,n1291,Canada,Canada,Canada,Canada,Canada,Canada
13631,115,n1801,China,China,China,China,China,China
10958,114,n460460,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12330,114,n11471147,India,NA,NA,NA,NA,NA
13779,114,n18751875,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
10878,113,n420420,Iraq,NA,NA,NA,NA,NA
12331,113,n1148,India,NA,NA,NA,NA,NA
12617,113,n12911291,Canada,Canada,NA,NA,NA,NA
10515,112,n239,Russia,Ukraine,Russia,Russia,Ukraine,Russia
13471,112,n1721,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
13780,112,n1876,Taiwan,Taiwan,Taiwan,NA,Taiwan,Taiwan
14697,112,n2337,SriLanka,SriLanka,SriLanka,SriLanka,SriLanka,SriLanka
12332,111,n11481148,India,NA,NA,NA,NA,NA
14698,111,n23372337,SriLanka,SriLanka,SriLanka,SriLanka,SriLanka,SriLanka
12618,110,n1292,Canada,Canada,NA,NA,NA,NA
11842,109,n902902,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
11159,108,n561,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic
11210,108,n586586,Tanzania,NA,NA,NA,NA,NA
11160,107,n561561,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic
11211,107,n587,Tanzania,NA,NA,NA,Tanzania,NA
14699,107,n2338,SriLanka,SriLanka,NA,NA,NA,NA
10242,106,n102102,Romania,NA,NA,NA,NA,NA
14541,106,n22582258,China,NA,NA,NA,NA,NA
10243,105,n103,Romania,Hungary,Ukraine,NA,NA,Hungary
11212,105,n587587,Tanzania,NA,NA,Tanzania,Tanzania,NA
11327,105,n645,Tanzania,NA,NA,NA,NA,NA
11994,105,n978978,USA,NA,NA,USA,NA,NA
11328,104,n645645,Tanzania,Kenya,Tanzania,NA,NA,NA
11609,104,n786,USA,USA,NA,USA,USA,NA
10959,103,n461,SouthAfrica,Namibia,Namibia,Namibia,Namibia,Namibia
11161,103,n562,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic,CentralAfricanRepublic
11329,103,n646,Tanzania,NA,NA,NA,NA,NA
11330,102,n646646,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
11610,102,n786786,USA,USA,USA,USA,USA,USA
11843,102,n903,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
12333,102,n1149,India,NA,NA,NA,NA,NA
12115,101,n10391039,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12334,101,n11491149,India,India,India,India,India,India
12116,100,n1040,SouthAfrica,NA,SouthAfrica,NA,NA,NA
11976,99,n969969,USA,NA,NA,NA,NA,NA
14700,99,n23382338,SriLanka,NA,NA,SriLanka,NA,NA
12378,97,n11711171,India,India,India,India,India,India
10297,96,n130,Estonia,Latvia,Latvia,Latvia,Estonia,Latvia
11213,96,n588,Tanzania,NA,NA,NA,NA,NA
12218,96,n1091,India,NA,NA,NA,NA,NA
10161,95,n60,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
11214,95,n588588,Tanzania,NA,NA,NA,NA,NA
11215,94,n589,Tanzania,NA,NA,Tanzania,Tanzania,NA
14701,94,n2339,SriLanka,SriLanka,SriLanka,NA,NA,NA
13062,93,n15151515,Nigeria,Nigeria,Nigeria,Nigeria,NA,Nigeria
10074,91,n1414,Slovenia,NA,NA,NA,NA,NA
11844,90,n903903,Cuba,Cuba,Cuba,NA,Cuba,Cuba
12619,89,n12921292,Canada,NA,NA,NA,NA,NA
13781,89,n18761876,Taiwan,Taiwan,NA,NA,NA,Taiwan
13883,89,n1928,Cambodia,Cambodia,NA,NA,NA,NA
10075,88,n15,Slovenia,NA,NA,NA,NA,Italy
10162,88,n6060,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
10516,88,n239239,Russia,NA,NA,NA,NA,NA
10665,87,n314,SaudiArabia,Oman,SaudiArabia,SaudiArabia,Oman,SaudiArabia
11977,87,n970,USA,NA,NA,NA,NA,NA
12219,87,n10911091,India,NA,NA,NA,NA,NA
14259,87,n21162116,China,NA,NA,NA,NA,NA
12267,86,n1116,India,India,India,India,India,India
13689,86,n18301830,China,NA,China,NA,NA,NA
10589,85,n276,Romania,Russia,Romania,Romania,Romania,Romania
11331,85,n647,Tanzania,NA,NA,Tanzania,NA,Tanzania
10710,84,n336336,Iran,Iran,NA,Iran,Iran,Iran
14082,84,n2028,China,NA,NA,NA,NA,NA
14326,84,n21502150,China,NA,NA,NA,NA,NA
11070,82,n516516,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
11995,82,n979,USA,NA,NA,USA,NA,NA
13256,82,n16121612,Niger,NA,NA,NA,NA,NA
10163,81,n61,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
10590,81,n276276,Russia,NA,Russia,Russia,Russia,Russia
11071,81,n517,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12962,81,n1465,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
13257,81,n1613,Niger,NA,NA,NA,NA,Ghana
14260,81,n2117,China,NA,NA,NA,NA,NA
12335,80,n1150,India,NA,NA,NA,NA,NA
12749,80,n1358,Greenland,Canada,Canada,Canada,Canada,Canada
10091,79,n2323,Italy,NA,NA,NA,NA,Italy
10879,79,n421,Turkey,Georgia,Georgia,Georgia,Georgia,Russia
12336,79,n11501150,India,India,India,India,India,India
12573,79,n12691269,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
13063,79,n1516,Nigeria,NA,NA,Nigeria,Nigeria,NA
10591,78,n277,Russia,Russia,Russia,Russia,Russia,Russia
11072,77,n517517,SouthAfrica,SouthAfrica,NA,SouthAfrica,SouthAfrica,SouthAfrica
11692,77,n827827,France,France,France,France,France,France
12574,77,n1270,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
12620,77,n1293,Canada,NA,NA,NA,NA,NA
12963,77,n14651465,SouthKorea,NA,SouthKorea,NA,SouthKorea,NA
10164,76,n6161,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
10666,76,n314314,SaudiArabia,NA,NA,NA,NA,NA
10780,76,n371371,Israel,NA,NA,NA,NA,NA
10960,76,n461461,SouthAfrica,NA,NA,NA,NA,NA
11565,76,n764,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
11024,75,n493493,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
11734,75,n848848,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
12220,75,n1092,India,NA,NA,NA,NA,NA
13162,75,n15651565,Mauritania,NA,NA,NA,NA,NA
10781,74,n372,Israel,Israel,Israel,Israel,Israel,Israel
11073,74,n518,SouthAfrica,SouthAfrica,NA,SouthAfrica,SouthAfrica,SouthAfrica
11566,74,n764764,Cameroon,NA,NA,NA,NA,NA
12337,74,n1151,India,NA,NA,NA,NA,NA
12621,74,n12931293,Canada,NA,NA,NA,NA,NA
11567,73,n765,Tanzania,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
12117,73,n10401040,SouthAfrica,NA,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12622,73,n1294,Canada,NA,NA,NA,NA,NA
13340,73,n1655,Philippines,NA,NA,NA,NA,NA
11996,72,n979979,USA,USA,USA,USA,USA,USA
12575,72,n12701270,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
14214,72,n2094,China,NA,NA,NA,NA,NA
11007,71,n485,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
11845,71,n904,Cuba,NA,NA,Cuba,NA,NA
13163,71,n1566,Mauritania,NA,unresolved,unresolved,unresolved,unresolved
12268,70,n11161116,India,India,India,India,India,India
10165,69,n62,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
11008,69,n485485,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
11332,69,n647647,Tanzania,NA,NA,Kenya,Kenya,NA
13064,69,n15161516,Nigeria,NA,NA,Nigeria,Nigeria,Nigeria
10711,68,n337,Iran,Iran,NA,Iran,Iran,Iran
10839,68,n401,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
11398,68,n680680,Zambia,NA,NA,NA,NA,NA
12964,68,n1466,SouthKorea,NA,NA,SouthKorea,NA,NA
13258,68,n16131613,Niger,NA,NA,NA,NA,NA
13742,68,n1857,China,China,China,China,China,China
10961,67,n462,SouthAfrica,NA,NA,NA,Zambia,Zambia
11399,67,n681,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia
12430,67,n11971197,Pakistan,NA,NA,NA,NA,NA
12750,67,n13581358,Canada,Canada,Canada,Canada,Canada,Canada
12965,67,n14661466,SouthKorea,NA,SouthKorea,NA,NA,NA
13259,67,n1614,Niger,NA,NA,NA,NA,NA
13341,67,n16551655,Philippines,Philippines,Philippines,NA,Philippines,Philippines
13632,67,n18011801,China,NA,NA,NA,NA,NA
11693,66,n828,France,NA,France,France,France,France
11925,66,n944,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
12431,66,n1198,Pakistan,unresolved,unresolved,unresolved,unresolved,unresolved
14454,66,n22142214,China,NA,NA,NA,NA,NA
10130,65,n4343,Poland,NA,NA,NA,NA,NA
10712,65,n337337,Iran,Iran,Iran,Iran,Iran,Iran
11074,65,n518518,SouthAfrica,SouthAfrica,NA,NA,NA,SouthAfrica
11333,65,n648,Kenya,NA,NA,Kenya,Kenya,Kenya
12379,65,n1172,India,NA,NA,NA,NA,NA
12966,65,n1467,SouthKorea,SouthKorea,NA,SouthKorea,SouthKorea,SouthKorea
13211,65,n1590,Mauritania,NA,NA,Mauritania,NA,NA
13884,65,n19281928,Cambodia,NA,Cambodia,NA,Cambodia,NA
11460,64,n711711,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
12432,64,n11981198,India,NA,NA,NA,NA,NA
13131,64,n1550,Chad,Chad,Chad,Chad,Chad,Chad
14702,64,n23392339,SriLanka,SriLanka,NA,SriLanka,SriLanka,SriLanka
11025,63,n494,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
13885,63,n1929,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
10592,62,n277277,Russia,Russia,Russia,Russia,Russia,Russia
10782,61,n372372,Israel,Israel,Israel,Israel,Israel,Israel
11735,61,n849,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
11926,61,n944944,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
14542,61,n2259,China,China,China,China,China,China
10166,60,n6262,Serbia,NA,NA,NA,NA,NA
10593,60,n278,Russia,Russia,Russia,Russia,Russia,Russia
12118,60,n1041,SouthAfrica,NA,SouthAfrica,NA,SouthAfrica,NA
12967,60,n14671467,SouthKorea,SouthKorea,NA,NA,SouthKorea,NA
10113,59,n35,BosniaandHerzegovina,NA,NA,NA,NA,NA
10517,59,n240,Russia,NA,NA,NA,NA,NA
10667,59,n315,SaudiArabia,NA,NA,NA,NA,NA
11695,59,n829,Canada,NA,NA,NA,NA,NA
11787,59,n875,Brazil,Brazil,NA,Brazil,NA,Brazil
12221,59,n10921092,India,NA,NA,NA,NA,NA
13132,59,n15501550,Chad,NA,NA,NA,NA,NA
11026,58,n494494,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
11846,58,n904904,Cuba,Cuba,Cuba,NA,Cuba,Cuba
12576,58,n1271,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
12751,58,n1359,Canada,NA,NA,NA,NA,NA
13133,58,n1551,Chad,NA,NA,NA,NA,NA
13743,58,n18571857,China,NA,NA,NA,NA,NA
14261,58,n21172117,China,NA,NA,NA,NA,NA
10668,57,n315315,SaudiArabia,NA,NA,NA,NA,NA
11009,57,n486,Namibia,NA,NA,NA,NA,NA
11696,57,n829829,Canada,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
11847,57,n905,Cuba,Cuba,Cuba,NA,Cuba,Cuba
12380,57,n11721172,India,NA,NA,NA,NA,NA
12752,57,n13591359,Canada,Canada,Canada,Canada,Canada,Canada
13926,57,n19491949,Cambodia,NA,NA,NA,NA,NA
10114,56,n3535,BosniaandHerzegovina,NA,NA,NA,NA,NA
10518,56,n240240,Ukraine,Ukraine,NA,NA,Ukraine,Russia
11010,56,n486486,Namibia,NA,NA,NA,NA,NA
11496,56,n729729,Sudan,NA,NA,NA,NA,NA
11697,56,n830,CzechRepublic,CzechRepublic,NA,NA,NA,NA
12433,56,n1199,India,NA,NA,NA,NA,NA
13584,56,n17771777,Philippines,Philippines,Philippines,Philippines,NA,Philippines
13782,56,n1877,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
14018,56,n19951995,Thailand,NA,NA,NA,NA,NA
10205,55,n83,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
10244,55,n103103,Romania,Romania,Hungary,NA,Romania,Romania
10713,55,n338,Iran,NA,NA,NA,NA,NA
10840,55,n401401,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
11334,55,n648648,Kenya,NA,NA,NA,NA,NA
11788,55,n875875,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
12381,55,n1173,India,NA,India,India,India,NA
12434,55,n11991199,India,India,India,India,NA,India
13134,55,n15511551,Chad,Chad,NA,NA,Chad,Chad
10131,54,n4444,Poland,Poland,Poland,Poland,Poland,Poland
10206,54,n8383,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
11108,54,n535535,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
11335,54,n649,Kenya,NA,NA,Kenya,Kenya,Kenya
11698,54,n830830,CzechRepublic,NA,NA,NA,NA,NA
12725,54,n1346,Canada,NA,NA,NA,NA,NA
14657,54,n23162316,Indonesia,NA,Indonesia,Indonesia,Indonesia,Indonesia
10594,53,n278278,Russia,Russia,Russia,Russia,Russia,Russia
10962,53,n462462,SouthAfrica,Zambia,NA,NA,Zambia,Zambia
11275,53,n619,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
11611,53,n787,USA,USA,USA,USA,USA,USA
11997,53,n980,USA,NA,NA,NA,NA,NA
12753,53,n1360,Canada,NA,NA,Canada,NA,Canada
10450,52,n206206,Russia,NA,NA,NA,NA,NA
11612,52,n787787,USA,USA,USA,NA,USA,USA
11699,52,n831,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
12754,52,n13601360,Canada,Canada,Canada,Canada,Canada,Canada
12811,52,n1389,Greenland,NA,NA,NA,NA,NA
13354,52,n1662,Philippines,NA,NA,NA,NA,NA
13633,52,n1802,China,NA,NA,NA,NA,NA
13927,52,n1950,Cambodia,NA,NA,NA,NA,NA
10389,51,n176,Mongolia,NA,NA,NA,NA,NA
10669,51,n316,Oman,Oman,Oman,Oman,Oman,NA
11400,51,n681681,Zambia,Zambia,Zambia,NA,Zambia,Zambia
11700,51,n831831,CzechRepublic,CzechRepublic,NA,CzechRepublic,CzechRepublic,CzechRepublic
12435,51,n1200,India,NA,NA,NA,NA,NA
13432,51,n1701,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
13690,51,n1831,China,NA,NA,NA,NA,NA
14543,51,n22592259,China,NA,NA,NA,NA,NA
14773,51,n2375,India,NA,India,India,India,India
10076,50,n1515,Slovenia,BosniaandHerzegovina,BosniaandHerzegovina,NA,NA,NA
10266,50,n114114,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary
10714,50,n338338,Iran,Iran,Iran,NA,Iran,NA
11216,50,n589589,Tanzania,NA,Tanzania,Tanzania,Tanzania,NA
12436,50,n12001200,India,India,India,India,India,India
12527,50,n12461246,Afghanistan,Afghanistan,Afghanistan,India,India,India
13691,50,n18311831,China,NA,NA,NA,NA,NA
14544,50,n2260,China,NA,NA,NA,NA,NA
10963,49,n463,Zambia,Zambia,NA,NA,Zambia,Zambia
11531,49,n747,Morocco,Morocco,Morocco,Morocco,Morocco,Spain
11652,49,n807807,USA,NA,NA,USA,NA,USA
11701,49,n832,CzechRepublic,NA,NA,NA,Poland,NA
11998,49,n980980,USA,CzechRepublic,France,France,France,France
12119,49,n10411041,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12437,49,n1201,India,NA,NA,NA,NA,NA
11075,48,n519,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,NA
11532,48,n747747,Morocco,Morocco,Morocco,Morocco,Morocco,Spain
11588,48,n775775,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana
11789,48,n876,Brazil,NA,NA,Brazil,NA,Brazil
12438,48,n12011201,India,NA,NA,NA,NA,NA
13472,48,n17211721,Philippines,NA,NA,NA,NA,NA
10715,47,n339,Iran,Iran,Iran,Iran,Iran,NA
11848,47,n905905,Cuba,Cuba,Cuba,NA,Cuba,Cuba
12120,47,n1042,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
12439,47,n1202,India,NA,NA,NA,NA,NA
13585,47,n1778,Philippines,Philippines,Philippines,Philippines,NA,Philippines
11011,46,n487,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
12497,46,n12311231,Bhutan,NA,NA,Bangladesh,NA,NA
14774,46,n23752375,India,India,India,India,India,India
10207,45,n84,Serbia,Serbia,BosniaandHerzegovina,BosniaandHerzegovina,Serbia,Serbia
11076,45,n519519,SouthAfrica,NA,NA,NA,NA,NA
11613,45,n788,USA,NA,NA,NA,NA,NA
11790,45,n876876,Brazil,NA,NA,NA,Brazil,Brazil
12382,45,n11731173,India,NA,NA,NA,India,NA
13212,45,n15901590,Mauritania,NA,Senegal,NA,Senegal,NA
14262,45,n2118,China,NA,NA,NA,NA,NA
10783,44,n373,Israel,Israel,Israel,Israel,Israel,Israel
11110,44,n536536,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
11241,44,n602,Tanzania,NA,NA,Tanzania,Tanzania,Tanzania
11614,44,n788788,USA,USA,USA,USA,USA,USA
11781,44,n872,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
12691,44,n1329,Canada,NA,NA,NA,NA,NA
13213,44,n1591,Mauritania,NA,NA,NA,NA,NA
14122,44,n2048,China,NA,NA,NA,NA,NA
14455,44,n2215,China,NA,NA,NA,NA,NA
10347,43,n155,Poland,Poland,NA,NA,Poland,Poland
10519,43,n241,Ukraine,Russia,Russia,Russia,Ukraine,Russia
10670,43,n316316,Oman,NA,NA,NA,NA,NA
11042,43,n502502,SouthAfrica,NA,NA,NA,NA,NA
11927,43,n945,Mexico,NA,NA,NA,NA,NA
12440,43,n12021202,India,Oman,Oman,Oman,Oman,Oman
13260,43,n16141614,BurkinaFaso,BurkinaFaso,BurkinaFaso,BurkinaFaso,BurkinaFaso,NA
13559,43,n1765,Philippines,NA,NA,NA,NA,NA
13783,43,n18771877,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
14199,43,n20862086,China,NA,NA,NA,NA,NA
10671,42,n317,Oman,NA,NA,NA,NA,NA
11217,42,n590,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
11711,42,n837,Peru,Peru,Peru,Peru,Peru,Peru
11791,42,n877,Brazil,Brazil,Brazil,Brazil,NA,NA
11928,42,n945945,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
13135,42,n1552,Chad,Chad,Chad,Chad,Chad,Chad
13297,42,n16331633,Nigeria,NA,NA,NA,NA,NA
13535,42,n1753,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
14263,42,n21182118,China,NA,NA,NA,NA,NA
10409,41,n186,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia
10716,41,n339339,Iran,NA,NA,NA,NA,NA
11929,41,n946,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
12692,41,n13291329,Canada,Greenland,Greenland,Greenland,Canada,Canada
13136,41,n15521552,Chad,Chad,Chad,Chad,Chad,Chad
