node	Country
root	Afghanistan
root	Brazil
root	Burkina Faso
root	Cambodia
root	Cameroon
root	Canada
root	Central African Republic
root	Chad
root	China
root	Croatia
root	Cuba
root	Estonia
root	Ethiopia
root	Georgia
root	Ghana
root	Greenland
root	Hungary
root	India
root	Indonesia
root	Iran
root	Israel
root	Italy
root	Latvia
root	Mexico
root	Mongolia
root	Namibia
root	Nepal
root	Nigeria
root	Oman
root	Philippines
root	Poland
root	Romania
root	Russia
root	Senegal
root	Serbia
root	Slovenia
root	South Africa
root	South Korea
root	Sri Lanka
root	Taiwan
root	Tanzania
root	Thailand
root	Turkey
root	USA
root	Uganda
root	Ukraine
root	Viet Nam
root	Zambia
root	Zimbabwe
n0	Brazil
n0	Burkina Faso
n0	Cambodia
n0	Cameroon
n0	Canada
n0	Central African Republic
n0	Chad
n0	China
n0	Croatia
n0	Cuba
n0	Estonia
n0	Ethiopia
n0	Georgia
n0	Ghana
n0	Greenland
n0	Hungary
n0	India
n0	Iran
n0	Israel
n0	Italy
n0	Latvia
n0	Mexico
n0	Mongolia
n0	Namibia
n0	Nepal
n0	Nigeria
n0	Oman
n0	Philippines
n0	Poland
n0	Romania
n0	Russia
n0	Senegal
n0	Serbia
n0	Slovenia
n0	South Africa
n0	South Korea
n0	Sri Lanka
n0	Taiwan
n0	Tanzania
n0	Thailand
n0	Turkey
n0	USA
n0	Ukraine
n0	Viet Nam
n0	Zambia
n0	Zimbabwe
n11151115	Brazil
n11151115	Burkina Faso
n11151115	Cambodia
n11151115	Cameroon
n11151115	Canada
n11151115	Central African Republic
n11151115	Chad
n11151115	China
n11151115	Croatia
n11151115	Cuba
n11151115	Estonia
n11151115	Ethiopia
n11151115	Georgia
n11151115	Ghana
n11151115	Greenland
n11151115	Hungary
n11151115	India
n11151115	Indonesia
n11151115	Iran
n11151115	Israel
n11151115	Italy
n11151115	Latvia
n11151115	Mexico
n11151115	Mongolia
n11151115	Namibia
n11151115	Nepal
n11151115	Nigeria
n11151115	Oman
n11151115	Philippines
n11151115	Poland
n11151115	Romania
n11151115	Russia
n11151115	Senegal
n11151115	Serbia
n11151115	Slovenia
n11151115	South Africa
n11151115	South Korea
n11151115	Sri Lanka
n11151115	Taiwan
n11151115	Tanzania
n11151115	Thailand
n11151115	Turkey
n11151115	USA
n11151115	Uganda
n11151115	Ukraine
n11151115	Viet Nam
n11151115	Zambia
n11151115	Zimbabwe
n00	Brazil
n00	Cambodia
n00	Cameroon
n00	Canada
n00	Central African Republic
n00	China
n00	Croatia
n00	Cuba
n00	Estonia
n00	Ethiopia
n00	Georgia
n00	Ghana
n00	Greenland
n00	Hungary
n00	India
n00	Iran
n00	Israel
n00	Italy
n00	Latvia
n00	Mexico
n00	Mongolia
n00	Namibia
n00	Nepal
n00	Nigeria
n00	Oman
n00	Philippines
n00	Poland
n00	Romania
n00	Russia
n00	Senegal
n00	Serbia
n00	South Africa
n00	South Korea
n00	Sri Lanka
n00	Taiwan
n00	Tanzania
n00	Thailand
n00	Turkey
n00	USA
n00	Ukraine
n00	Viet Nam
n00	Zambia
n00	Zimbabwe
n993	Brazil
n993	Cambodia
n993	Cameroon
n993	Canada
n993	Central African Republic
n993	Chad
n993	China
n993	Croatia
n993	Cuba
n993	Ethiopia
n993	Georgia
n993	Ghana
n993	Greenland
n993	Guinea
n993	Hungary
n993	India
n993	Iran
n993	Israel
n993	Italy
n993	Latvia
n993	Mexico
n993	Namibia
n993	Nepal
n993	Nigeria
n993	Oman
n993	Philippines
n993	Poland
n993	Russia
n993	Senegal
n993	Serbia
n993	South Africa
n993	South Korea
n993	Sri Lanka
n993	Taiwan
n993	Tanzania
n993	Thailand
n993	USA
n993	Viet Nam
n993	Zambia
n1116	China
n13371337	Brazil
n13371337	Cambodia
n13371337	Cameroon
n13371337	Canada
n13371337	Central African Republic
n13371337	China
n13371337	Croatia
n13371337	Cuba
n13371337	Ethiopia
n13371337	Georgia
n13371337	Ghana
n13371337	Greenland
n13371337	Hungary
n13371337	India
n13371337	Iran
n13371337	Israel
n13371337	Italy
n13371337	Latvia
n13371337	Mexico
n13371337	Namibia
n13371337	Nepal
n13371337	Nigeria
n13371337	Oman
n13371337	Philippines
n13371337	Poland
n13371337	Russia
n13371337	Serbia
n13371337	South Africa
n13371337	South Korea
n13371337	Sri Lanka
n13371337	Taiwan
n13371337	Tanzania
n13371337	Thailand
n13371337	USA
n13371337	Viet Nam
n13371337	Zambia
n1	Brazil
n1	Cambodia
n1	Cameroon
n1	Canada
n1	Central African Republic
n1	China
n1	Croatia
n1	Cuba
n1	Ethiopia
n1	Georgia
n1	Ghana
n1	Greenland
n1	Hungary
n1	India
n1	Iran
n1	Israel
n1	Italy
n1	Latvia
n1	Mexico
n1	Mongolia
n1	Namibia
n1	Nepal
n1	Nigeria
n1	Oman
n1	Philippines
n1	Poland
n1	Russia
n1	Serbia
n1	South Africa
n1	South Korea
n1	Sri Lanka
n1	Taiwan
n1	Tanzania
n1	Thailand
n1	USA
n1	Viet Nam
n1	Zambia
n808808	Brazil
n808808	Cambodia
n808808	Cameroon
n808808	Canada
n808808	Central African Republic
n808808	China
n808808	Croatia
n808808	Cuba
n808808	Ethiopia
n808808	Georgia
n808808	Ghana
n808808	Greenland
n808808	Hungary
n808808	India
n808808	Iran
n808808	Israel
n808808	Italy
n808808	Mexico
n808808	Mongolia
n808808	Namibia
n808808	Nepal
n808808	Nigeria
n808808	Philippines
n808808	Poland
n808808	Russia
n808808	Serbia
n808808	South Africa
n808808	South Korea
n808808	Sri Lanka
n808808	Taiwan
