node	Country
root	Bosnia and Herzegovina
root	Bulgaria
root	Burkina Faso
root	Canada
root	China
root	Croatia
root	Estonia
root	France
root	Georgia
root	Germany
root	Ghana
root	Greece
root	Greenland
root	Hungary
root	India
root	Iran
root	Italy
root	Latvia
root	Lithuania
root	Mali
root	Mexico
root	Nigeria
root	Pakistan
root	Poland
root	Russia
root	Senegal
root	Slovenia
root	South Africa
root	Tanzania
root	Thailand
root	USA
root	Ukraine
root	United Arab Emirates
root	Viet Nam
root	Zambia
n0	Bosnia and Herzegovina
n0	Bulgaria
n0	Burkina Faso
n0	Canada
n0	China
n0	Croatia
n0	Estonia
n0	France
n0	Georgia
n0	Germany
n0	Ghana
n0	Greece
n0	Greenland
n0	Hungary
n0	India
n0	Iran
n0	Italy
n0	Latvia
n0	Lithuania
n0	Mali
n0	Mexico
n0	Nigeria
n0	Pakistan
n0	Poland
n0	Russia
n0	Senegal
n0	Slovenia
n0	South Africa
n0	Tanzania
n0	Thailand
n0	USA
n0	Ukraine
n0	United Arab Emirates
n0	Viet Nam
n0	Zambia
n263	Bosnia and Herzegovina
n263	Bulgaria
n263	Burkina Faso
n263	Canada
n263	China
n263	Croatia
n263	Estonia
n263	France
n263	Georgia
n263	Germany
n263	Ghana
n263	Greece
n263	Greenland
n263	Hungary
n263	India
n263	Iran
n263	Italy
n263	Latvia
n263	Lithuania
n263	Mali
n263	Mexico
n263	Nigeria
n263	Pakistan
n263	Poland
n263	Russia
n263	Senegal
n263	Slovenia
n263	South Africa
n263	Tanzania
n263	Thailand
n263	USA
n263	Ukraine
n263	United Arab Emirates
n263	Viet Nam
n263	Zambia
n00	China
n217	Croatia
n217	Hungary
n217	India
n217	Italy
n217	Latvia
n217	Nepal
n217	Poland
n263263	Bosnia and Herzegovina
n263263	Cameroon
n263263	Canada
n263263	China
n263263	Croatia
n263263	Georgia
n263263	Ghana
n263263	Guinea
n263263	Hungary
n263263	Iran
n263263	Italy
n263263	Latvia
n263263	Lithuania
