node	Country
root	Afghanistan
root	Brazil
root	Burkina Faso
root	Cambodia
root	Cameroon
root	Canada
root	Central African Republic
root	Chad
root	China
root	Croatia
root	Cuba
root	Estonia
root	Ethiopia
root	Georgia
root	Ghana
root	Greenland
root	Hungary
root	India
root	Indonesia
root	Iran
root	Israel
root	Italy
root	Kenya
root	Latvia
root	Mexico
root	Mongolia
root	Namibia
root	Nepal
root	Nigeria
root	Oman
root	Philippines
root	Poland
root	Romania
root	Russia
root	Senegal
root	Serbia
root	Slovenia
root	South Africa
root	South Korea
root	Sri Lanka
root	Taiwan
root	Tanzania
root	Thailand
root	Tunisia
root	Turkey
root	USA
root	Uganda
root	Ukraine
root	Viet Nam
root	Zambia
root	Zimbabwe
n0	Afghanistan
n0	Brazil
n0	Burkina Faso
n0	Cambodia
n0	Cameroon
n0	Canada
n0	Central African Republic
n0	Chad
n0	China
n0	Croatia
n0	Cuba
n0	Estonia
n0	Ethiopia
n0	Georgia
n0	Ghana
n0	Greenland
n0	Hungary
n0	India
n0	Indonesia
n0	Iran
n0	Israel
n0	Italy
n0	Latvia
n0	Mexico
n0	Mongolia
n0	Namibia
n0	Nepal
n0	Nigeria
n0	Oman
n0	Philippines
n0	Poland
n0	Romania
n0	Russia
n0	Senegal
n0	Serbia
n0	Slovenia
n0	South Africa
n0	South Korea
n0	Sri Lanka
n0	Taiwan
n0	Tanzania
n0	Thailand
n0	Turkey
n0	USA
n0	Uganda
n0	Ukraine
n0	Viet Nam
n0	Zambia
n0	Zimbabwe
n1105	Afghanistan
n1105	Brazil
n1105	Burkina Faso
n1105	Cambodia
n1105	Cameroon
n1105	Canada
n1105	Central African Republic
n1105	Chad
n1105	China
n1105	Croatia
n1105	Cuba
n1105	Estonia
n1105	Ethiopia
n1105	Georgia
n1105	Ghana
n1105	Greenland
n1105	Hungary
n1105	India
n1105	Indonesia
n1105	Iran
n1105	Israel
n1105	Italy
n1105	Kenya
n1105	Latvia
n1105	Mexico
n1105	Mongolia
n1105	Namibia
n1105	Nepal
n1105	Nigeria
n1105	Oman
n1105	Philippines
n1105	Poland
n1105	Romania
n1105	Russia
n1105	Senegal
n1105	Serbia
n1105	Slovenia
n1105	South Africa
n1105	South Korea
n1105	Sri Lanka
n1105	Taiwan
n1105	Tanzania
n1105	Thailand
n1105	Tunisia
n1105	Turkey
n1105	USA
n1105	Uganda
n1105	Ukraine
n1105	Viet Nam
n1105	Zambia
n1105	Zimbabwe
n00	Brazil
n00	Cambodia
n00	Cameroon
n00	Canada
n00	Central African Republic
n00	China
n00	Croatia
n00	Cuba
n00	Estonia
n00	Ethiopia
n00	Georgia
n00	Ghana
n00	Greenland
n00	Hungary
n00	India
n00	Iran
n00	Israel
n00	Italy
n00	Latvia
n00	Mexico
n00	Mongolia
n00	Namibia
n00	Nepal
n00	Nigeria
n00	Oman
n00	Philippines
n00	Poland
n00	Romania
n00	Russia
n00	Senegal
n00	Serbia
n00	South Africa
n00	South Korea
n00	Sri Lanka
n00	Taiwan
n00	Tanzania
n00	Thailand
n00	Turkey
n00	USA
n00	Ukraine
n00	Viet Nam
n00	Zambia
n00	Zimbabwe
n989989	Brazil
n989989	Cambodia
n989989	Cameroon
n989989	Canada
n989989	Central African Republic
n989989	China
n989989	Croatia
n989989	Cuba
n989989	Ethiopia
n989989	Greenland
n989989	Hungary
n989989	India
n989989	Iran
n989989	Israel
n989989	Italy
n989989	Mexico
n989989	Namibia
n989989	Nepal
n989989	Nigeria
n989989	Philippines
n989989	Poland
n989989	Russia
n989989	Senegal
n989989	Serbia
n989989	South Africa
n989989	South Korea
n989989	Sri Lanka
n989989	Taiwan
n989989	Tanzania
n989989	Thailand
n989989	USA
n989989	Zambia
n11051105	Brazil
n11051105	Cambodia
n11051105	Cameroon
n11051105	Canada
n11051105	Central African Republic
n11051105	China
n11051105	Croatia
n11051105	Cuba
n11051105	Ethiopia
n11051105	Greenland
n11051105	Hungary
n11051105	India
n11051105	Iran
n11051105	Israel
n11051105	Italy
n11051105	Mexico
n11051105	Namibia
n11051105	Nepal
n11051105	Nigeria
n11051105	Philippines
n11051105	Poland
n11051105	Russia
n11051105	Serbia
n11051105	South Africa
n11051105	South Korea
n11051105	Sri Lanka
n11051105	Taiwan
n11051105	Tanzania
n11051105	Thailand
n11051105	USA
n11051105	Zambia
n1326	Brazil
n1326	Cambodia
n1326	Canada
n1326	Central African Republic
n1326	Ethiopia
n1326	Hungary
n1326	India
n1326	Iran
n1326	Italy
n1326	Nepal
n1326	Nigeria
n1326	Philippines
n1326	Poland
n1326	Russia
n1326	South Korea
n1326	Sri Lanka
n1326	Taiwan
n1326	Tanzania
n1326	Thailand
n1326	USA
n1326	Zambia
n1	Brazil
n1	Cambodia
n1	Cameroon
n1	Canada
n1	Central African Republic
n1	China
n1	Croatia
n1	Cuba
n1	Ethiopia
n1	Georgia
n1	Ghana
n1	Greenland
n1	Hungary
n1	India
n1	Iran
n1	Israel
n1	Italy
n1	Latvia
n1	Mexico
n1	Mongolia
n1	Namibia
n1	Nepal
n1	Nigeria
n1	Oman
n1	Philippines
n1	Poland
n1	Russia
n1	Serbia
n1	South Africa
n1	South Korea
n1	Sri Lanka
n1	Taiwan
n1	Tanzania
n1	Thailand
n1	USA
n1	Viet Nam
n1	Zambia
n804	Afghanistan
n804	Brazil
n804	Cambodia
n804	Cameroon
n804	Canada
n804	Central African Republic
n804	China
n804	Croatia
n804	Cuba
n804	Ethiopia
n804	Georgia
n804	Ghana
n804	Greenland
n804	Hungary
n804	India
n804	Iran
n804	Israel
n804	Italy
