node	Country
root	Bosnia and Herzegovina
root	Bulgaria
root	Cambodia
root	Cameroon
root	Canada
root	China
root	Croatia
root	Estonia
root	France
root	Georgia
root	Germany
root	Greece
root	Greenland
root	Hungary
root	India
root	Iran
root	Italy
root	Latvia
root	Lithuania
root	Mali
root	Mexico
root	Niger
root	Nigeria
root	Oman
root	Pakistan
root	Poland
root	Russia
root	Senegal
root	Slovenia
root	South Africa
root	Tanzania
root	Thailand
root	USA
root	Ukraine
root	United Arab Emirates
root	Viet Nam
root	Zambia
n0	Bosnia and Herzegovina
n0	Bulgaria
n0	Cambodia
n0	Cameroon
n0	Canada
n0	China
n0	Croatia
n0	Estonia
n0	Georgia
n0	Germany
n0	Greece
n0	Greenland
n0	Hungary
n0	India
n0	Iran
n0	Italy
n0	Latvia
n0	Lithuania
n0	Mali
n0	Mexico
n0	Oman
n0	Pakistan
n0	Poland
n0	Russia
n0	Senegal
n0	South Africa
n0	Tanzania
n0	Thailand
n0	USA
n0	Ukraine
n0	United Arab Emirates
n0	Viet Nam
n0	Zambia
n270270	Bosnia and Herzegovina
n270270	Bulgaria
n270270	Cambodia
n270270	Cameroon
n270270	Canada
n270270	China
n270270	Croatia
n270270	Estonia
n270270	Georgia
n270270	Germany
n270270	Greece
n270270	Greenland
n270270	Hungary
n270270	India
n270270	Iran
n270270	Italy
n270270	Latvia
n270270	Lithuania
n270270	Mali
n270270	Mexico
n270270	Nigeria
n270270	Oman
n270270	Pakistan
n270270	Poland
n270270	Russia
n270270	Senegal
n270270	South Africa
n270270	Tanzania
n270270	Thailand
n270270	USA
n270270	Ukraine
n270270	United Arab Emirates
n270270	Viet Nam
n270270	Zambia
n00	China
n222222	Bosnia and Herzegovina
n222222	Cameroon
n222222	Canada
n222222	China
n222222	Croatia
n222222	Estonia
n222222	Georgia
n222222	Greenland
n222222	Hungary
n222222	India
n222222	Italy
n222222	Latvia
n222222	Lithuania
n222222	Mexico
n222222	Nepal
n222222	Poland
n222222	Russia
