node	Caribbean	Central America	Central Asia	Eastern Africa	Eastern Asia	Eastern Europe	Middle Africa	Northern Africa	Northern America	Northern Europe	South America	South-Eastern Asia	Southern Africa	Southern Asia	Southern Europe	Western Africa	Western Asia	Western Europe
n560	8.046964302506504e-05	0.00027236423848086	0.00011459579829719655	0.07541596903076703	0.00038455868673990123	0.0012900355986326297	0.6047691152663259	8.733631850506614e-05	0.00018909970311633173	0.0004755566813964854	0.0002443730171307709	0.0004993770571011588	0.3148648307691963	0.00034115534155596656	0.0002742423864915791	0.00018288332187922318	0.0002296898403101868	0.00028434730104820466
n583	1.1458666786771385e-07	3.878296901964094e-07	1.63177263067517e-07	0.9999905087401633	5.475907881696363e-07	1.836933771279629e-06	1.2614811062921556e-06	1.2447120208159312e-07	2.6928389274154084e-07	6.771630258136443e-07	3.479724781479986e-07	7.110817537368951e-07	1.1809208353446586e-06	4.857846752769376e-07	3.905065282233173e-07	2.604175708620844e-07	3.271657576846102e-07	4.048928302166999e-07
n680680	1.6475359744664276e-07	5.573929817736809e-07	2.34519940202077e-07	0.9999676133386723	7.870784645784178e-07	2.6401437146718584e-06	3.6181567441608403e-06	1.8146704501961937e-07	3.8743335700409617e-07	9.732252104815406e-07	5.001224815715224e-07	1.0219735323344538e-06	1.8632044441737566e-05	6.98192405803621e-07	5.612981959926949e-07	3.743482874725101e-07	4.725944722972462e-07	5.819164552870631e-07
KT119781	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KT119780	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380178	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380216	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380179	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380219	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380183	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380185	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380218	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380215	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC380214	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n699	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC787065	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ420623	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC787066	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX148210	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC787055	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC787051	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n707	3.82096380346233e-07	1.293337037656977e-06	5.441446895761398e-07	0.9997451395183462	1.826060124883388e-06	6.12559417420378e-06	3.834987921732443e-06	0.00022748406611692296	8.97891821961702e-07	2.258125052467059e-06	1.1603757573553176e-06	2.3712333090468035e-06	4.5133675950161075e-07	1.619934952989076e-06	1.3022041248719284e-06	8.683972644259777e-07	1.0905064369988317e-06	1.3501897288333347e-06
n729	3.298434296365149e-09	1.1164500276827513e-08	4.697311534961899e-09	0.9999987094164718	1.5763272347833528e-08	5.287892644114037e-08	3.310539995576657e-08	1.0542579287662703e-06	7.751019730339025e-09	1.9493191902189284e-08	1.001690633158715e-08	2.0469595289956574e-08	3.896150061029393e-09	1.398403628001935e-08	1.1241234871266454e-08	7.496403494991571e-09	9.413747108256898e-09	1.1655469413276499e-08
